STK_D_Code,STK_D_SWCode
2026,JXSB
2027,JSJ
2028,DQSB
2029,FZFZ
2030,YYSW
2031,JXSB
2032,JYDQ
2033,XXFW
2034,FZFZ
2035,JYDQ
2036,FZFZ
2037,HG
2038,YYSW
2039,GYSY
2040,JTYS
2041,NLMY
2042,FZFZ
2043,JZCL
2044,FZFZ
2045,DZ
2046,JXSB
2047,JZZS
2048,QC
2049,DZ
2050,JYDQ
2051,JZZS
2052,JYDQ
2053,HG
2054,HG
2055,DZ
2056,DZ
2057,YSJS
2058,DQSB
2059,XXFW
2060,JZZS
2061,HG
2062,JZZS
2063,JSJ
2064,HG
2065,JSJ
2066,JZCL
2067,QGZZ
2068,HG
2069,NLMY
2070,FZFZ
2071,CM
2072,FZFZ
2073,JXSB
2074,DQSB
2075,GT
2076,DZ
2077,FDC
2078,QGZZ
2079,DZ
2080,HG
2081,JZZS
2082,JZCL
2083,FZFZ
2084,QGZZ
2085,QC
2086,NLMY
2087,FZFZ
2088,JZCL
2089,TX
2090,DQSB
2091,SYMY
2092,HG
2093,TX
2094,QGZZ
2095,CM
2096,HG
2097,JXSB
2098,FZFZ
2099,YYSW
2100,NLMY
2101,QC
2102,SYMY
2103,QGZZ
2104,TX
2105,QC
2106,DZ
2107,YYSW
2108,HG
2109,HG
2110,GT
2111,JXSB
2112,DQSB
2113,ZH
2114,YSJS
2115,TX
2116,JZZS
2117,QGZZ
2118,YYSW
2119,DZ
2120,QGZZ
2121,DQSB
2122,JXSB
2123,DQSB
2124,NLMY
2125,HG
2126,QC
2127,HG
2128,CJ
2129,DZ
2130,YSJS
2131,CM
2132,JXSB
2133,FDC
2134,DZ
2135,JZZS
2136,HG
2137,DZ
2138,DZ
2139,DZ
2140,JZZS
2141,DZ
2142,YH
2143,CM
2144,FZFZ
2145,HG
2146,FDC
2147,JXSB
2148,CM
2149,YSJS
2150,JXSB
2151,GFJG
2152,JSJ
2153,JSJ
2154,FZFZ
2155,YSJS
2156,DZ
2157,NLMY
2158,JXSB
2159,XXFW
2160,YSJS
2161,DZ
2162,JZCL
2163,JZCL
2164,JXSB
2165,HG
2166,YYSW
2167,YSJS
2168,DQSB
2169,DQSB
2170,HG
2171,YSJS
2172,HG
2173,NLMY
2174,CM
2175,JXSB
2176,DQSB
2177,JSJ
2178,JZZS
2179,DZ
2180,DZ
2181,CM
2182,YSJS
2183,JTYS
2184,DQSB
2185,DZ
2186,XXFW
2187,SYMY
2188,DZ
2189,DZ
2190,GFJG
2191,QGZZ
2192,HG
2193,FZFZ
2194,TX
2195,JSJ
2196,DQSB
2197,JSJ
2198,YYSW
2199,DZ
2200,JZZS
2201,HG
2202,DQSB
2203,YSJS
2204,JXSB
2205,JZCL
2206,HG
2207,CJ
2208,FDC
2209,JXSB
2210,JTYS
2211,HG
2212,DQSB
2213,QC
2214,DZ
2215,HG
2216,SPYL
2217,DZ
2218,DQSB
2219,YYSW
2220,NLMY
2221,HG
2222,DZ
2223,YYSW
2224,HG
2225,JZCL
2226,HG
2227,DQSB
2228,QGZZ
2229,QGZZ
2230,JSJ
2231,TX
2232,JSJ
2233,JZCL
2234,NLMY
2235,QGZZ
2236,JSJ
2237,YSJS
2238,CM
2239,FZFZ
2240,QGZZ
2241,DZ
2242,JYDQ
2243,QGZZ
2244,FDC
2245,JTYS
2246,HG
2247,QGZZ
2248,JXSB
2249,DQSB
2250,HG
2251,SYMY
2252,YYSW
2253,JSJ
2254,HG
2255,DQSB
2256,HG
2258,HG
2259,QGZZ
2260,JYDQ
2261,CM
2262,YYSW
2263,HG
2264,SYMY
2265,QC
2266,DQSB
2267,GYSY
2268,JSJ
2269,FZFZ
2270,JXSB
2271,JZCL
2272,JXSB
2273,DZ
2274,HG
2275,YYSW
2276,DQSB
2277,SYMY
2278,JXSB
2279,JSJ
2280,JSJ
2281,TX
2282,JXSB
2283,QC
2284,QC
2285,FDC
2286,NLMY
2287,YYSW
2288,DZ
2289,DZ
2290,JYDQ
2291,FZFZ
2292,CM
2293,FZFZ
2294,YYSW
2295,YSJS
2296,JSJ
2297,GFJG
2298,DQSB
2299,NLMY
2300,DQSB
2301,QGZZ
2302,JZCL
2303,QGZZ
2304,SPYL
2305,FDC
2306,XXFW
2307,JZZS
2308,JSJ
2309,DQSB
2310,JZZS
2311,NLMY
2312,JSJ
2313,TX
2314,JZCL
2315,CM
2316,TX
2317,YYSW
2318,GT
2319,HG
2320,JTYS
2321,NLMY
2322,DQSB
2323,DQSB
2324,HG
2325,JZZS
2326,HG
2327,FZFZ
2328,QC
2329,SPYL
2330,SPYL
2331,JSJ
2332,YYSW
2333,JZCL
2334,DQSB
2335,DQSB
2336,SYMY
2337,JXSB
2338,JXSB
2339,DQSB
2340,YSJS
2341,GYSY
2342,JXSB
2343,HG
2344,SYMY
2345,QGZZ
2346,JZCL
2347,JXSB
2348,QGZZ
2349,YYSW
2350,DQSB
2351,DZ
2352,JXSB
2353,JXSB
2354,CM
2355,QC
2356,DQSB
2357,JTYS
2358,DQSB
2359,DQSB
2360,HG
2361,HG
2362,JSJ
2363,QC
2364,DQSB
2365,YYSW
2366,JYDQ
2367,JXSB
2368,JSJ
2369,DZ
2370,YYSW
2371,DZ
2372,JZCL
2373,JSJ
2374,QGZZ
2375,JZZS
2376,JSJ
2377,HG
2378,YSJS
2379,YSJS
2380,JSJ
2381,HG
2382,HG
2383,JSJ
2384,DZ
2385,NLMY
2386,HG
2387,SPYL
2388,DZ
2389,DZ
2390,YYSW
2391,HG
2392,JZCL
2393,YYSW
2394,FZFZ
2395,HG
2396,TX
2397,FZFZ
2398,JZCL
2399,YYSW
2400,CM
2401,JSJ
2402,DZ
2403,JYDQ
2404,FZFZ
2405,JSJ
2406,QC
2407,HG
2408,HG
2409,HG
2410,JSJ
2411,HG
2412,YYSW
2413,JYDQ
2414,DZ
2415,JSJ
2416,SYMY
2417,TX
2418,JYDQ
2419,SYMY
2420,JYDQ
2421,JSJ
2422,YYSW
2423,JXSB
2424,YYSW
2425,FZFZ
2426,JXSB
2427,HG
2428,YSJS
2429,JYDQ
2430,JXSB
2431,JZZS
2432,YYSW
2433,YYSW
2434,QC
2435,JXSB
2436,DZ
2437,YYSW
2438,JXSB
2439,JSJ
2440,HG
2441,DQSB
2442,HG
2443,GT
2444,JXSB
2445,JXSB
2446,TX
2447,NLMY
2448,QC
2449,DZ
2450,HG
2451,DQSB
2452,DQSB
2453,HG
2454,QC
2455,HG
2456,DZ
2457,JZCL
2458,NLMY
2459,JXSB
2460,YSJS
2461,SPYL
2462,YYSW
2463,DZ
2464,HG
2465,TX
2466,YSJS
2467,TX
2468,JZCL
2469,JZZS
2470,HG
2471,DQSB
2472,QC
2473,JYDQ
2474,JSJ
2475,DZ
2476,HG
2477,NLMY
2478,GT
2479,GYSY
2480,JXSB
2481,SPYL
2482,JZZS
2483,JXSB
2484,DZ
2485,FZFZ
2486,FZFZ
2487,JXSB
2488,QC
2489,QGZZ
2490,JXSB
2491,TX
2492,JTYS
2493,HG
2494,FZFZ
2495,SPYL
2496,HG
2497,HG
2498,DQSB
2499,JXSB
2500,FYJR
2501,YSJS
2502,QGZZ
2503,FZFZ
2504,JZZS
2505,NLMY
2506,DQSB
2507,SPYL
2508,JYDQ
2509,JXSB
2510,JXSB
2511,QGZZ
2512,JSJ
2513,HG
2514,JXSB
2515,SPYL
2516,FZFZ
2517,FZFZ
2518,DQSB
2519,JYDQ
2520,JXSB
2521,QGZZ
2522,QGZZ
2523,JXSB
2524,JZZS
2526,JXSB
2527,DQSB
2528,JSJ
2529,JXSB
2530,JXSB
2531,DQSB
2532,JXSB
2533,DQSB
2534,DQSB
2535,JXSB
2536,QC
2537,JXSB
2538,HG
2539,HG
2540,YSJS
2541,JZZS
2542,JZZS
2543,JYDQ
2544,TX
2545,JZZS
2546,DQSB
2547,DZ
2548,NLMY
2549,HG
2550,YYSW
2551,YYSW
2552,JXSB
2553,QC
2554,CJ
2555,CM
2556,HG
2557,SPYL
2558,XXFW
2559,JXSB
2560,DQSB
2561,SYMY
2562,HG
2563,FZFZ
2564,JXSB
2565,QGZZ
2566,YYSW
2567,NLMY
2568,SPYL
2569,FZFZ
2570,SPYL
2571,QGZZ
2572,QGZZ
2573,GYSY
2574,QGZZ
2575,QGZZ
2576,DQSB
2577,JSJ
2578,YSJS
2579,DZ
2580,DQSB
2581,HG
2582,SPYL
2583,TX
2584,HG
2585,QGZZ
2586,JZZS
2587,DZ
2588,HG
2589,YYSW
2590,QC
2591,HG
2592,QC
2593,QC
2594,QC
2595,JXSB
2596,JZCL
2597,HG
2598,JXSB
2599,QGZZ
2600,YSJS
2601,HG
2602,QC
2603,YYSW
2604,NLMY
2605,QGZZ
2606,DQSB
2607,QC
2608,GFJG
2609,JSJ
2610,DQSB
2611,JXSB
2612,FZFZ
2613,JXSB
2614,JYDQ
2615,QGZZ
2616,JYDQ
2617,DQSB
2618,DZ
2619,JZCL
2620,JZZS
2621,JXSB
2622,DQSB
2623,JZCL
2624,CM
2625,QC
2626,YYSW
2627,JTYS
2628,JZZS
2629,CJ
2630,DQSB
2631,QGZZ
2632,HG
2633,JXSB
2634,FZFZ
2635,DZ
2636,DZ
2637,HG
2638,DZ
2639,JXSB
2640,FZFZ
2641,JZCL
2642,JSJ
2643,HG
2644,YYSW
2645,JXSB
2646,SPYL
2647,JXSB
2648,HG
2649,JSJ
2650,SPYL
2651,JXSB
2652,JZCL
2653,YYSW
2654,DZ
2655,DZ
2656,FZFZ
2657,JSJ
2658,JXSB
2659,JZZS
2660,DZ
2661,SPYL
2662,QC
2663,JZZS
2664,QC
2665,DQSB
2666,HG
2667,JXSB
2668,JYDQ
2669,HG
2670,JYDQ
2671,JZCL
2672,GYSY
2673,FYJR
2674,FZFZ
2675,YYSW
2676,JYDQ
2677,JYDQ
2678,QGZZ
2679,NLMY
2680,JXSB
2681,JYDQ
2682,QC
2683,HG
2684,QC
2685,JXSB
2686,JXSB
2687,FZFZ
2688,NLMY
2689,JXSB
2690,JXSB
2691,JXSB
2692,DQSB
2693,YYSW
2694,JZCL
2695,SPYL
2696,NLMY
2697,SYMY
2698,JXSB
2699,FZFZ
2700,GYSY
2701,QGZZ
2702,SPYL
2703,QC
2705,JYDQ
2706,DQSB
2707,XXFW
2708,QC
2709,HG
2711,JTYS
2712,CM
2713,JZZS
2714,NLMY
2715,QC
2716,YSJS
2717,JZZS
2718,JZCL
2719,SPYL
2721,QGZZ
2722,JXSB
2723,JYDQ
2724,DZ
2725,QC
2726,SPYL
2727,YYSW
2728,YYSW
2729,DZ
2730,JXSB
2731,QGZZ
2732,SPYL
2733,DQSB
2734,HG
2735,QGZZ
2736,FYJR
2737,YYSW
2738,CJ
2739,CM
2740,QGZZ
2741,HG
2742,JZCL
2743,JZZS
2745,DZ
2746,NLMY
2747,JXSB
2748,HG
2749,HG
2750,YYSW
2751,QGZZ
2752,QGZZ
2753,HG
2755,JZZS
2756,GT
2757,JXSB
2758,YYSW
2759,JYDQ
2760,JXSB
2761,FZFZ
2762,FZFZ
2763,FZFZ
2765,QC
2766,JSJ
2767,DQSB
2768,HG
2769,JTYS
2770,SPYL
2771,JSJ
2772,NLMY
2773,YYSW
2775,JZZS
2776,FZFZ
2777,JSJ
2778,HG
2779,JXSB
2780,FZFZ
2781,JZZS
2782,DZ
2783,HG
2785,JZCL
2786,JXSB
2787,QGZZ
2788,YYSW
2789,JZZS
2790,QGZZ
2791,JZCL
2792,TX
2793,JXSB
2795,JZCL
2796,JXSB
2797,FYJR
300001,DQSB
300002,JSJ
300003,YYSW
300004,JXSB
300005,FZFZ
300006,YYSW
300007,JXSB
300008,GFJG
300009,YYSW
300010,JSJ
300011,DQSB
300012,ZH
300013,JTYS
300014,DZ
300015,YYSW
300016,YYSW
300017,TX
300018,DQSB
300019,HG
300020,JSJ
300021,NLMY
300022,SYMY
300023,JXSB
300024,JXSB
300025,TX
300026,YYSW
300027,CM
300028,TX
300029,DQSB
300030,YYSW
300031,HG
300032,DZ
300033,JSJ
300034,JXSB
300035,JXSB
300036,JSJ
300037,HG
300038,TX
300039,YYSW
300040,DQSB
300041,HG
300042,JSJ
300043,CM
300044,JSJ
300045,JSJ
300046,DZ
300047,JSJ
300048,DQSB
300049,YYSW
300050,TX
300051,JSJ
300052,CM
300053,DZ
300054,HG
300055,GYSY
300056,GYSY
300057,QGZZ
300058,CM
300059,CM
300061,QGZZ
300062,DQSB
300063,HG
300064,JXSB
300065,JSJ
300066,JXSB
300067,HG
300068,DQSB
300069,DQSB
300070,GYSY
300071,CM
300072,HG
300073,HG
300074,JSJ
300075,JSJ
300076,DZ
300077,DZ
300078,DZ
300079,JSJ
300080,JXSB
300081,TX
300082,HG
300083,DZ
300084,JXSB
300085,JSJ
300086,YYSW
300087,NLMY
300088,DZ
300089,QGZZ
300090,GYSY
300091,JXSB
300092,JXSB
300093,JZCL
300094,NLMY
300095,JXSB
300096,JSJ
300097,JXSB
300098,TX
300099,JXSB
300100,QC
300101,GFJG
300102,DZ
300103,JXSB
300104,CM
300105,DQSB
300106,NLMY
300107,HG
300108,HG
300109,HG
300110,YYSW
300111,DQSB
300112,JXSB
300113,CM
300114,JXSB
300115,DZ
300116,JXSB
300117,JZCL
300118,DQSB
300119,NLMY
300120,DQSB
300121,HG
300122,YYSW
300123,GFJG
300124,DQSB
300125,GYSY
300126,JXSB
300127,YSJS
300128,DZ
300129,DQSB
300130,JSJ
300131,DZ
300132,HG
300133,CM
300134,TX
300135,HG
300136,DZ
300137,GYSY
300138,NLMY
300139,DZ
